duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
0,0,14,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,84,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0
0,0,14,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,21,1.0,0.0,1.0,0.52,0.0,0.0,0.0,0.0,0
0,1,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,255,1,0.0,0.86,0.86,0.0,0.0,0.0,0.85,1.0,2
0,0,14,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,133,1.0,0.0,1.0,0.26,0.0,0.0,0.0,0.0,1
6,1,58,9,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,2,0.25,1.0,0.25,1.0,0.0,0.0,0.75,0.5,0
0,0,14,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,52,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0
6,1,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34,2,0.03,1.0,0.03,1.0,0.0,0.0,0.85,0.0,0
0,0,14,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,147,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0
8,1,43,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,255,1,0.0,0.62,1.0,0.0,0.0,0.0,1.0,1.0,2
0,1,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,111,1,0.01,0.15,0.12,0.0,0.0,0.0,0.11,1.0,2
0,2,48,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,16,0.0,0.0,0.0,0.0,0.5,0.09,0.0,255,16,0.06,0.6,0.44,0.0,0.05,0.0,0.51,0.0,3
0,0,14,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,186,1.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,1
16825,1,43,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,255,2,0.01,0.67,1.0,0.0,0.0,0.0,1.0,1.0,2
0,0,14,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,58,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0
0,1,48,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,100,1,0.01,0.9,0.92,0.0,0.92,1.0,0.0,0.0,1
0,0,14,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,129,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0
0,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1,0.0,0.0,1.0,1.0,0.02,0.54,0.0,227,1,0.0,0.14,0.25,0.0,0.01,0.0,0.47,1.0,2
0,1,48,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1.0,1.0,0.0,0.0,0.5,1.0,0.0,14,1,0.07,0.71,0.5,0.0,0.5,1.0,0.0,0.0,1
0,1,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,217,1,0.0,0.25,0.23,0.0,0.0,0.0,0.24,1.0,2
0,1,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,254,1,0.0,0.35,0.34,0.0,0.0,0.0,0.34,1.0,2
0,0,14,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,255,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0
0,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,1,0.06,0.0,0.88,1.0,0.0,1.0,0.0,255,1,0.0,0.85,0.0,0.0,0.05,0.0,0.75,1.0,3
0,1,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,151,1,0.01,0.13,0.21,0.0,0.0,0.0,0.21,1.0,2
0,1,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,1,0.2,0.0,0.79,1.0,0.0,1.0,0.0,255,1,0.0,1.0,0.0,0.0,0.19,0.0,0.81,1.0,3
0,0,14,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,32,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0
0,0,14,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,94,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
0,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1,0.0,0.0,1.0,1.0,0.02,0.55,0.0,223,1,0.0,0.13,0.24,0.0,0.01,0.0,0.46,1.0,2
0,1,48,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,251,1,0.0,0.96,0.97,0.0,0.97,1.0,0.0,0.0,1
0,1,48,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,243,1,0.0,0.95,0.97,0.0,0.97,1.0,0.0,0.0,1
0,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,1,0.02,0.0,0.95,1.0,0.01,1.0,0.0,255,1,0.0,0.77,0.0,0.0,0.01,0.0,0.72,1.0,3
